,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2022-09-05 19:07:34+00:00,1566865641113534469,How to trade a Shooting Star setup!💫Wait for confirmation and use the candle high as risk!$SPY $QQQ $TSLA $AAPL https://t.co/xudWC0Ww84,137,36177,829,MapleStax
1,2022-09-05 16:35:44+00:00,1566827431239057409,"In each of the last 7 Bear markets, the S&amp;P 500 did not bottom until AFTER the Fed began cutting rates. On average, the market bottomed 11 months after the first rate cuts. $SPY $QQQ $AAPL $TSLA $NVDA https://t.co/8znwb4fq3L",225,19237,847,Marlin_Capital
2,2022-09-05 14:26:46+00:00,1566794975160958981,"ALL THAT MATTERS IS 390 on $SPY that holds again and we may see relief rally ..breaks and 388 / 385 / 383.50 fast 380 poss390 holds again 392.50 / 395 / 398.50 , 400 pos Sellers are in control but buyers sticking around $AAPL and $AMZN need to hold or it gets nasty https://t.co/ynGtmkigOH",20,46231,313,TheRealNasa00
3,2022-09-05 04:43:26+00:00,1566648174692839424,Apple event this week! $AAPL,14,180865,203,WholeMarsBlog
4,2022-09-05 02:52:53+00:00,1566620352934948864,I guess it’s the big stand off at apple next week. Will they come back to the office or will Tim really fire people who do not… $aapl,17,274911,313,GerberKawasaki
5,2022-09-03 20:51:00+00:00,1566166896847622144,The best thing we can all do for crypto is buy new iPhones. iPhone numbers good = $AAPL stable = $SPY stable = $ETH stable,9,44717,192,SplitCapital
6,2022-09-03 18:47:54+00:00,1566135914451144707,Study these textbook Bearish Pattens!Pro tip: Enter where it says “Stop”$SPY $QQQ $TSLA $AAPL https://t.co/XPdCBMK63M,264,36177,1365,MapleStax
7,2022-09-03 12:43:45+00:00,1566044275711803392,"The heavy weights in 2022, YTD:$NFLX -62.47%$NVDA -53.58%$META -52.34%$GOOGL -25.54%$AMZN -23.52%$MSFT -23.37%$TSLA -23.29%$AAPL -11.89% https://t.co/EC7djnbOn0",56,134283,273,cperruna
8,2022-09-03 02:00:01+00:00,1565882274847113216,"$AAPL 🍎 Apple falls 70% of the time in September, Apple also carries a $SPY weight of 7.3% 🍏 https://t.co/EBGb9pzFr8",51,264634,280,TrendSpider
9,2022-09-02 23:50:38+00:00,1565849714301587456,"How to see Trade Opportunities!Never chase, there is always another entry!$SPY $QQQ $TSLA $AAPL https://t.co/2MCzlo2xFt",69,36177,476,MapleStax
10,2022-09-02 20:08:40+00:00,1565793852157468673,For The First Time in A Long Time I Alerted Everyday💰•$AAPL 165c .68 to 1.18 (75%)$AAPL 162.5c .60 to 1.0 (70%)$AAPL 162.5c .69 to 1.5 (120%)🚀$SPX 3925c .40 to 4.90 (1125%)☢️•All for fre99 on $TWTR•A Like &amp; Retweet Would Be Greatly Appreciated❤️ https://t.co/YwrdTZhQ70,71,89028,498,JPATrades
11,2022-09-02 17:43:54+00:00,1565757423268372483,$AAPL: iPhone overtakes Android as most-used phone in the US,104,293971,990,MarketRebels
12,2022-09-02 17:40:37+00:00,1565756595941908484,$AAPL - Apple iPhone Takes Lead in Smartphone Market. People Are Switching From Androidshttps://t.co/DlXxY1q92B,50,619341,269,DeItaone
13,2022-09-02 14:17:00+00:00,1565705353362231296,"Apple, $AAPL, overtakes Android, $GOOGL, to account for 50% of smartphones used in US, per FT.",114,933962,1094,unusual_whales
