,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2021-01-25 22:22:03+00:00,1353830521504210946,"SpaceX dismissed Amazon's $AMZN protest of the modification as ""attempts to stifle competition"", saying Amazon makes ""misleading claims of interference"" and emphasizing that the competing Project Kuiper network represents ""still nascent plans"" https://t.co/Ua2CpvM9O0",73,172439,860,thesheetztweetz
1,2021-01-25 21:15:48+00:00,1353813848961257473,We are releasing @amazon decentralized stock futures on the #SolsticeTestnet ✨Now anyone can long or short $AMZN with leverage! https://t.co/GtERX3lLmW,126,142058,548,Injective_
2,2021-01-25 16:15:07+00:00,1353738177555668999,Which of these sectors would you rather be invested in if you could only choose ONE for the next 24mo📦 E-Commerce$AMZN$BABA$SHOP$ETSY💳 FinTech$PYPL$SQ$V$MA🤖 Cybersecurity$CRWD$NET$OKTA$ZS💻 Big Tech$AAPL$FB$NFLX$MSFT💊 Healthcare$JNJ$ABBV$PFE$BMY,69,81638,409,Dividend_Dollar
3,2021-01-24 23:35:26+00:00,1353486598277574657,Both #Bitcoin and gold will protect you from inflation. But bitcoin also gives you ownership in the future. Investing in Barnes &amp; Noble gave you exposure to a bookstore. Investing in Amazon $AMZN gave you exposure not just to a bookstore but also the future.,178,706666,1657,cameron
4,2021-01-24 15:22:00+00:00,1353362421730009089,"Since IPO, $AMZN is up 168,000%, which is a CAGR of37.6% per year, or3.1% per month, or0.1% per dayThat's about as fast as it gets!Keep this in mind when your portfolio moves 1%+ per dayVolatility &gt; the speed of wealth-creation",56,405603,413,BrianFeroldi
5,2021-01-23 20:13:45+00:00,1353073454681997315,I see lower-quality stocks bid up with claims of the 'X of X' or 'the next X'.They surf a long-term trend but to keep growing 25%+ ( a 10-bagger over a decade) you need quality$JMIA is NOT the $AMZN of Africa.$PLUG is NOT the $TSLA of hydrogen$MGNI is NOT the next $TTD1/,16,83374,247,FromValue
6,2021-01-23 19:09:12+00:00,1353057210092273668,"I will buy $NIO up to $100 then I’ll stop buying. Why? Simple, I clearly see this stock over the next few years being worth Hundreds $100 to $200 is a 100% gain. Think bigger people! $TSLA $AAPL $AMZN $XPEV $LI $RIDE $GEVO $ALPP $UAVS $ABML $FRSX $XL $BLNK $SPCE $PLTR $F $CLOV https://t.co/F98EQyBirv",27,23188,252,DCDOWORK
7,2021-01-23 11:01:15+00:00,1352934416318951424,Hard to believe $TSLA dropped 61% from a high of $183 on 2/19/20 to a low of $72 on 3/18/20 - just 10 months ago. Or $AMZN dropped 60% from $94 in Dec 2007 to just $38 in Nov 2008.  Some growth stocks you just have to buy and hold. https://t.co/0XoUq345re,57,251235,771,garyblack00
8,2021-01-22 11:51:27+00:00,1352584661902503936,Killer piece from @michaelbatnick $QCOM fell 58% - 21 years to get back to break even. $MSFT fell 65% - 17 years to get even.$AMZN fell 95%  - 10 years to even.$INTC fell 82% - still isn’t even.$CSCO fell 89% - isn’t even close to back to even.https://t.co/Gya3OgoT5l,134,206276,580,ritholtz
9,2021-01-21 23:39:59+00:00,1352400580610846720,"1/9 Thread: $AMZN vs $SHOP vs $ETSYI have listened to my fair share of podcasts related to $ETSY, but I thought @HarryStebbings interview of Josh Silverman, CEO of Etsy, was an exceptional one.It not only helped me understand Josh better, but also gave a lot to ponder.",26,112146,328,borrowed_ideas
10,2021-01-21 22:18:17+00:00,1352380020891799555,$NIO is now the 5th largest car company in the world. Accumulate and go Long! $NIO $TSLA $AAPL $AMZN $XPEV $LI $RIDE $GEVO $UAVS $ALPP $ABML $FRSX $XL $BLNK $SPCE $PLTR $F $SNDL https://t.co/wl4lkhJBST,49,23188,230,DCDOWORK
11,2021-01-21 14:21:38+00:00,1352260067366629377,The quickest way we can get vaccines and testing to everyone is using Amazon’s help. @JoeBiden should definitely be calling Bezos. $amzn,16,274913,307,GerberKawasaki
12,2021-01-21 12:42:52+00:00,1352235213993205760,"$AMZN: BofA Securities Raises target price to $4,000 from $3,650",34,619341,300,DeItaone
13,2021-01-20 21:04:25+00:00,1351999043199787014,Today @amazon sends an offer letter to @Potus @JoeBiden offering to help with distribution of a vaccine to help meet his goal of reaching 100m shots by 100 days - @caroljoynt confirms. $AMZN,184,135990,924,margbrennan
14,2021-01-20 19:52:32+00:00,1351980953883865092,The last time all five of the FAANG stocks were up over 3% on the same day was on April 6th. $FB $AMZN $AAPL $MFLX $GOOGL,39,170380,218,bespokeinvest
15,2021-01-20 19:12:16+00:00,1351970817882599428,"""We are prepared to leverage our operations, information technology, and communications capabilities and expertise to assist your administration's vaccination efforts."" $AMZN",26,392498,219,carlquintanilla
16,2021-01-20 18:49:34+00:00,1351965108231139333,* https://t.co/hsMzYvx5Sn CONSUMER CEO OFFERS TO HELP WITH VACCINE EFFORTS IN MESSAGE TO U.S. PRESIDENT JOE BIDEN - LETTER@Reuters $AMZN,159,392498,803,carlquintanilla
17,2021-01-20 18:43:49+00:00,1351963658092486656,AMAZON INC CEO OFFERS TO HELP WITH VACCINE EFFORTS IN MESSAGE TO U.S. PRESIDENT JOE BIDEN - LETTER$AMZN,101,619341,833,DeItaone
18,2021-01-20 15:25:40+00:00,1351913792075137025,FAANG is flying.  $FB △ 1.3% $AAPL △ 2.4% $AMZN △ 3.1% $NFLX △ 13.8% $GOOG △ 3.8%,31,972583,185,Stocktwits
19,2021-01-19 20:59:38+00:00,1351635451195613187,'FANGMANT' off to a strong start to the week. $FB $AAPL $NFLX $GOOGL $MSFT $AMZN $NVDA $TSLA https://t.co/yHaTSE8uqA,45,51413,225,JesseCohenInv
20,2021-01-19 18:25:03+00:00,1351596547574812672,Start investing with what you know🛒 Need Groceries? $COST $WMT☕ Drink Coffee? $SBUX📱 Own an iPhone? $AAPL💻 Ever used Google? $GOOGL🚽 Use household products? $PG🤕 Need a Band-aid? $JNJ📦 Ever shopped on Amazon? $AMZN🐶 Buy your dog food on Chewy? $CHWY,48,81638,242,Dividend_Dollar
21,2021-01-19 16:27:55+00:00,1351567071067344900,Live view of $AMZN #AMZN https://t.co/FIly0Z3q2Z,22,264634,211,TrendSpider
22,2021-01-18 21:06:22+00:00,1351274757644292112,This is what $38 billion worth of divorce settlement gets you. And they say there’s no inflation? #AmazonPrime $AMZN https://t.co/MD5BIOYcJf,30,49152,332,ecommerceshares
23,2021-01-18 19:34:36+00:00,1351251662556569606,I'd say the direction of the resolutions from these consolidations are pretty important https://t.co/C8rViwJPRs $NVDA $GOOG $FB $AMZN $AAPL $MSFT https://t.co/f6z5eYSCAn,123,123302,557,allstarcharts
24,2021-01-17 04:47:02+00:00,1350665914275024896,"I am the biggest $NIO Bull in the World. I have a $1,000+ price target for @NIOGlobal in 5-7 years. We are in the beginning stages of a whole new Era. #EV is the Future. We have only just begun. Long $TSLA $XPEV $LI $AAPL $AMZN $RIDE $XL $SPCE $PLTR $SNDL https://t.co/9htN69Uw9l",24,23188,313,DCDOWORK
25,2021-01-17 04:03:22+00:00,1350654922036023298,Businesses that have massively expanded their TAMs and dominated their space-$AAPL$ADBE$AMZN$GOOG$NOW$NFLX$CRM$FBIn progress-$TSLA$ROKU$ETSY$SPOT$SQ$ZM$ABNB$PTON$LMND$TDOC$RDFN$PINS$SNOW,51,117638,384,BackpackerFI
