,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2021-11-01 00:00:31+00:00,1454961512393629710,Elite Options #Watchlist 💡📈 $TSLA 1200C over 1100 | 🎯: 1180 | Stop loss: 1088📈 $NVDA 260C over 255 | 🎯: 262 | Stop loss: 252.50📈 $GOOGL 3050C over 2970 | 🎯: 3040 | Stop loss: 2950Swing Trade Idea 📈 $ARKK 12/10 125C over 120 | 🎯: 127 | Stop loss: 118,36,134509,315,EliteOptions2
1,2021-10-31 01:14:50+00:00,1454617828401631235,FREE #Options Swings Ideas 🤯$AMZN  Calls &gt;3468 | Puts &lt;3281.66$DKNG  Calls &gt;50.12 | Puts &lt;45.80$V           Calls &gt;234.79 | Puts &lt;210.20❤️ to support my FREE picks!BONUS picks in video below 👇$GOOGL $SBUX $DDOG $UPWK https://t.co/8L05zkjptW,29,100599,465,TradingWarz
2,2021-10-29 20:13:45+00:00,1454179672158318600,OctoberCloudflare $NET: +73%Ethereum $ETH: +46%Tesla $TSLA: +44%Bitcoin $BTC: +42%Solana $SOL: +42%Coinbase $COIN: +40%$MSFT: +18%$GOOGL: +11%Oil: +10%Nas 100 $QQQ: +8%S&amp;P $SPY: +7%$AAPL: +6%$AMZN: +3%$FB: -5%Evergrande $EGRNF: -19%Snap $SNAP: -29%Vol $VIX: -30%,129,492316,551,charliebilello
3,2021-10-29 20:05:18+00:00,1454177543393849346,"Don’t settle for an ordinary life.. If you put in the work and prepare each day, anything is possible 🚀 $TSLA    910C      $9.80  -&gt; $203.00$TSLA    970C     $10.20 -&gt; $144.80$NVDA   232.5C  $2.50 -&gt; $24.57$GOOGL 2950C  $8.50 -&gt; $44.50Cheers to an incredible October 🎃🥂 https://t.co/n9FvC8vlcF",17,134509,367,EliteOptions2
4,2021-10-29 02:54:53+00:00,1453918233120104448,The combined revenue of the 4 largest US companies hit a record $1.24 trillion over last 12 months...Apple $AAPL: $366 billionMicrosoft $MSFT: $176 billionGoogle $GOOGL: $239 billionAmazon $AMZN: $458 billionThat's larger than the GDP of all but 14 countries.,112,492316,413,charliebilello
5,2021-10-29 02:44:41+00:00,1453915666000617474,"Q3 Revenue Growth, YoY % Change...Tesla $TSLA: +57%Google $GOOGL: +41%Facebook $FB: +35%Apple $AAPL: +29%Microsoft $MSFT: +22%Netflix $NFLX: +16%Amazon $AMZN: +15%S&amp;P 500 $SPY: +11%",249,492316,1294,charliebilello
6,2021-10-28 20:43:47+00:00,1453824841321222147,"As one megacap after another misses ests and gets trashed, $TSLA and $GOOGL stand tall.  Many PMs buying TSLA have told me they can’t find anything else to buy in megacaps ( $AAPL, $AMZN, $MSFT, GOOGL, TSLA, $FB 40% of R1G benchmark). “Supply constraints” didn’t impact TSLA 3Q.",76,251238,810,garyblack00
7,2021-10-27 20:06:49+00:00,1453453148199153666,"Oops, we did it again +1.1M $GOOGL 2840c, 2900c, 2950c, 3000cThank you for changing my life @EliteOptions2 🌹 https://t.co/Uv48LZqeCu",13,10102,353,Sae72Ahmed
8,2021-10-27 15:17:31+00:00,1453380345517203463,"Market is $GOOGL $MSFT and $TSLA, everything else taking a shit",36,39453,443,TradingThomas3
9,2021-10-27 08:39:42+00:00,1453280233029779456,"I'm sick &amp; tired of people on FinTwit misleading retail traders. This isn't a game. Have some semblance of responsibility.@TaraBull808 spent the morning arguing with me that $AMC could be worth more than $AAPL &amp; $GOOGL, and said a $3000 price-target was realistic.BE LOGICAL.",15,172097,438,stocktalkweekly
10,2021-10-26 22:20:19+00:00,1453124356855402505,Alphabet Q3 revenue --&gt; $65 billion (+41%YOY)!Operating margin --&gt; 32%Diluted EPS --&gt; +71%YOYNo position but these results show Alphabet is an exceptional business; a genuine compounding machine!$GOOGL,48,312544,768,saxena_puru
11,2021-10-26 20:05:01+00:00,1453090307357220870,EARNINGS: Alphabet Q3 EPS $27.99 vs. $23.48 Est.; Q3 Revs. $65.12B vs. $63.34B Est. • $GOOGLhttps://t.co/qQfNA4irDf,97,775388,282,CNBCnow
12,2021-10-25 02:34:07+00:00,1452463454007308289,⛓ $NVDA $SHOP $PYPL $MSFT $AMZN $GS $V $GOOGL $ETH $BTC ⛓ and more… https://t.co/m5w0u7n1jX,51,33592,239,rhemrajani9
13,2021-10-23 19:35:39+00:00,1451995755019972615,💥BIG WEEK OF TECH EARNINGS AHEAD 👀👀Mon: $FBTues: $MSFT $GOOGL $AMD $TWTR $HOOD $VWed: $BA $MCD $KO $GM $FThurs: $AAPL $AMZN $SHOP $MA $SBUX $CATFri: $XOM $CVX $RCL$DIA $SPY $QQQ $IWM $VIX https://t.co/DvMV3tPrSr,98,51413,310,JesseCohenInv
14,2021-10-20 14:11:03+00:00,1450826902533509120,"Returns, Last 10 Years..Bitcoin $BTC: +2,808,411%Tesla $TSLA: +15,646%NVIDIA $NVDA: +6,641%Netflix $NFLX: +3,817%Domino's $DPZ: 1,697%Amazon $AMZN: +1,370%Microsoft $MSFT: +1,318%Apple $AAPL: +1,131%Google $GOOGL: +879%S&amp;P 500 $SPY: +351%Bonds $AGG: +34%Gold $GLD: +5%",361,492316,1239,charliebilello
15,2021-10-19 20:53:32+00:00,1450565802332196873,We are now officially in 'Greed' territory. $FB $AAPL $AMZN $GOOGL $MSFT https://t.co/ELXihJJgkF,91,51413,464,JesseCohenInv
16,2021-10-18 11:59:30+00:00,1450069020997210118,"The analysts consistently get this wrong. The proper comparison is not $TSLA vs the OEMs, who are the walking dead. It’s $TSLA vs $GOOGL, $AAPL, $AMZN, $BIDU, $RIVN, $LCID, and a bunch of privates working on autonomous vehicles.  @ASacconaghi1 https://t.co/jbM0CAWR6f",23,251238,426,garyblack00
17,2021-10-18 01:41:05+00:00,1449913392454463489,TW #FocusList 🛰️$AMD Calls &gt;112.84 | Puts &lt;111.11$GOOGL Calls &gt;2846.61 | Puts &lt;2800$SHOP Calls &gt;1430 | Puts &lt;1397.05$SNAP Calls &gt;79.41 | Puts &lt;75.72Good luck traders! https://t.co/yFYrpmSmYc,56,136789,402,ThetaWarrior
18,2021-10-18 01:10:15+00:00,1449905632337817607,Big Names that are reporting in next 2 weeks$NFLX Tuesday 19th After Close$TSLA Wed 20th After CloseNext Week$FB 25th Oct $MSFT 26th Oct$GOOGL 26th Oct$AMZN 28th Oct$AAPL 28th Oct,49,300587,327,ripster47
19,2021-10-13 19:34:52+00:00,1448371678820581377,"Returns, Last 10 Years..Bitcoin $BTC: +1,407,307%Tesla $TSLA: +14,422%NVIDIA $NVDA: +5,782%Netflix $NFLX: +3,653%Domino's $DPZ: 1,918%Amazon $AMZN: +1,291%Microsoft $MSFT: +1,254%Apple $AAPL: +1,024%Google $GOOGL: +883%S&amp;P 500 $SPY: +338%Bonds $AGG: +34%Gold $GLD: +3%",267,492316,939,charliebilello
20,2021-10-13 12:41:00+00:00,1448267524710313987,Here are the Street's expectations for topline growth heading into Q3 #Adtech earnings. $APPS $FUBO $MGNI $SNAP and $ROKU have highest growth expectations - are they capturing ad budget from $FB $GOOGL and $TWTR? https://t.co/4sitf55C1j,47,114277,298,Beth_Kindig
21,2021-10-07 12:25:20+00:00,1446089256317984770,Confirmed #earnings for October https://t.co/lObOE0dgsr $AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WFC $WBA $INTC $GOOGL $F $C $DPZ $UNH $GM $JNJ $MS $T $NUE $CMC  $AA $TWTR $BA $QCOM $LRCX FYI $AMZN $TSLA $AMD $BABA $MSFT have not scheduled earnings yet https://t.co/9QAaaxXGUx,301,391859,831,eWhispers
22,2021-10-06 13:55:04+00:00,1445749452182986765,"Returns, Last 10 Years..Bitcoin $BTC: +1,150,000%Tesla $TSLA: +14,376%NVIDIA $NVDA: +6,298%Netflix $NFLX: +3,485%Domino's $DPZ: 1,935%Amazon $AMZN: +1,358%Microsoft $MSFT: +1,256%Apple $AAPL: +1,108%Google $GOOGL: +952%S&amp;P 500 $SPY: +348%Bonds $AGG: +34%Gold $GLD: +1%",1587,492316,6224,charliebilello
23,2021-10-06 00:49:30+00:00,1445551757094883331,"The U.S. government is secretly ordering Google to provide data on anyone typing in certain search terms, an accidentally unsealed court document shows $GOOGL",129,123934,435,The_Real_Fly
